task,variant,seed,run,iou,precision,recall,bg_iou,val_iou,val_loss,best_val_loss,status,start_time,duration_min
ci,01_landsat_only,42,reproducibility_ci_01_landsat_only_seed42_desktop_20260608_134158,0.6522210373563397,0.7064093410917253,0.8947643273401608,0.8504984975273842,0.5979291200637817,-0.13706764578819275,-0.6445746421813965,FINISHED,1780947719881,35.486266666666666
ci,01_landsat_only,1337,reproducibility_ci_01_landsat_only_seed1337_desktop_20260608_125129,0.647054162838821,0.7119337826605862,0.8765465966386979,0.8510300393911268,0.6588306427001953,-0.2970088720321655,-0.5448399186134338,FINISHED,1780944690258,19.7272
ci,01_landsat_only,2026,reproducibility_ci_01_landsat_only_seed2026_desktop_20260608_131149,0.6531372109766408,0.7102578046233752,0.8903669938808592,0.8520371372890654,0.6680118441581726,-0.32893478870391846,-0.6414003372192383,FINISHED,1780945910017,29.559966666666668
ci,02_landsat_dem,42,reproducibility_ci_02_landsat_dem_seed42_desktop_20260608_152403,0.6949257252145462,0.8241615061093469,0.8158947425140237,0.8904714905310641,0.6907054781913757,-0.35834789276123047,-0.6897187829017639,FINISHED,1780953844019,25.655616666666667
ci,02_landsat_dem,1337,reproducibility_ci_02_landsat_dem_seed1337_desktop_20260608_141804,0.6832529141937701,0.7579899767480703,0.8738904281000587,0.8738796643167471,0.7006699442863464,-0.4728783071041107,-0.7084060907363892,FINISHED,1780949885310,37.58391666666667
ci,02_landsat_dem,2026,reproducibility_ci_02_landsat_dem_seed2026_desktop_20260608_145615,0.6934497940659677,0.7756972266993811,0.8673759028148857,0.8808727653839831,0.7127299308776855,-0.4729044437408447,-0.7282615303993225,FINISHED,1780952176389,27.190183333333334
ci,03_landsat_spectral_hsv,42,reproducibility_ci_03_landsat_spectral_hsv_seed42_desktop_20260608_165423,0.6356427068871409,0.676450958032565,0.9133195143806817,0.834994662420279,0.603398859500885,-0.14059649407863617,-0.5431795120239258,FINISHED,1780959263839,22.526766666666667
ci,03_landsat_spectral_hsv,1337,reproducibility_ci_03_landsat_spectral_hsv_seed1337_desktop_20260608_155018,0.6822086687422136,0.7551213724584592,0.876012098156457,0.8728785421832672,0.6913570165634155,-0.43128401041030884,-0.7048634886741638,FINISHED,1780955419659,33.4025
ci,03_landsat_spectral_hsv,2026,reproducibility_ci_03_landsat_spectral_hsv_seed2026_desktop_20260608_162419,0.6426292355218602,0.6964084579657001,0.8927229765151479,0.8445373967772587,0.6591348648071289,-0.2466747760772705,-0.6093497276306152,FINISHED,1780957460285,29.459233333333334
ci,05_static_physics,42,reproducibility_ci_05_static_physics_seed42_desktop_20260608_181407,0.6592670868926732,0.7107142275223591,0.9010627418876492,0.8537842734283552,0.6764695048332214,-0.36360836029052734,-0.6983142495155334,FINISHED,1780964048735,30.01096666666667
