tile_index,image_name,scene_pool,image_id,date,cloud_cover,wrs_path,wrs_row,spacecraft_id,sensor_id,system_time_start,rebuild_rank
24,image24.tif,bibek,LE07_146039_20051123,2005-11-23,2,146,39,LANDSAT_7,ETM,1132722479897,166.34661017665627
24,image24.tif,bibek,LE07_146038_20060923,2006-09-23,3,146,38,LANDSAT_7,ETM,1158988052219,480.372555401756
31,image31.tif,bibek,LE07_147038_20040908,2004-09-08,7,147,38,LANDSAT_7,ETM,1094620375320,366.8773134308756
31,image31.tif,bibek,LE07_147037_20060930,2006-09-30,1,147,37,LANDSAT_7,ETM,1159593195780,467.37713694578
31,image31.tif,bibek,LE07_148037_20071127,2007-11-27,4,148,37,LANDSAT_7,ETM,1196140813694,920.4185215312866
67,image67.tif,bibek,LE07_152035_20060917,2006-09-17,0,152,35,LANDSAT_7,ETM,1158471807991,444.3969902223429
96,image96.tif,bibek,LE07_140041_20071221,2007-12-21,6,140,41,LANDSAT_7,ETM,1198211549575,964.3874427417047
131,image131.tif,bibek,LE07_139041_20071214,2007-12-14,4,139,41,LANDSAT_7,ETM,1197606377334,937.3825292245562
132,image132.tif,bibek,LE07_151034_20050822,2005-08-22,1,151,34,LANDSAT_7,ETM,1124688998767,63.358471024229964
132,image132.tif,bibek,LE07_150035_20050916,2005-09-16,1,150,35,LANDSAT_7,ETM,1126848638635,88.35646246965352
132,image132.tif,bibek,LE07_150034_20050916,2005-09-16,2,150,34,LANDSAT_7,ETM,1126848614744,98.35618592955882
132,image132.tif,bibek,LE07_151035_20060708,2006-07-08,2,151,35,LANDSAT_7,ETM,1152337056746,393.3867901354497
