tile_index,image_name,scene_pool,image_id,date,cloud_cover,wrs_path,wrs_row,spacecraft_id,sensor_id,system_time_start,rebuild_rank
67,image67.tif,dynamic,LE07_152036_20050626,2005-06-26,1,152,36,LANDSAT_7,ETM,1119764624710,15.881052703413703
67,image67.tif,dynamic,LE07_152035_20050626,2005-06-26,1,152,35,LANDSAT_7,ETM,1119764600823,15.881329149434112
67,image67.tif,dynamic,LE07_153035_20050719,2005-07-19,0,153,35,LANDSAT_7,ETM,1121752172712,19.364491894934222
67,image67.tif,dynamic,LE07_153035_20050804,2005-08-04,0,153,35,LANDSAT_7,ETM,1123134570446,35.365848065816365
67,image67.tif,dynamic,LE07_153035_20050820,2005-08-20,0,153,35,LANDSAT_7,ETM,1124516965108,51.36716867807096
67,image67.tif,dynamic,LE07_152036_20050813,2005-08-13,1,152,36,LANDSAT_7,ETM,1123911820792,54.36257839486608
67,image67.tif,dynamic,LE07_153035_20050905,2005-09-05,0,153,35,LANDSAT_7,ETM,1125899356633,67.36845297931818
67,image67.tif,dynamic,LE07_152035_20050728,2005-07-28,4,152,35,LANDSAT_7,ETM,1122529400970,68.36096655374777
67,image67.tif,dynamic,LE07_152035_20050930,2005-09-30,0,152,35,LANDSAT_7,ETM,1128058980724,92.36626180479809
67,image67.tif,dynamic,LE07_152036_20050930,2005-09-30,0,152,36,LANDSAT_7,ETM,1128059004614,92.3665383333177
67,image67.tif,dynamic,LE07_153035_20050430,2005-04-30,3,153,35,LANDSAT_7,ETM,1114840182215,92.87199047156685
67,image67.tif,dynamic,LE07_152035_20050423,2005-04-23,3,152,35,LANDSAT_7,ETM,1114235009053,99.87570430303448
67,image67.tif,dynamic,LE07_152035_20050914,2005-09-14,3,152,35,LANDSAT_7,ETM,1126676579942,106.36487035309015
67,image67.tif,dynamic,LE07_152036_20050423,2005-04-23,4,152,36,LANDSAT_7,ETM,1114235032944,109.87542781072177
67,image67.tif,dynamic,LE07_152036_20050728,2005-07-28,9,152,36,LANDSAT_7,ETM,1122529424859,118.36124307069232
67,image67.tif,dynamic,LE07_153035_20051007,2005-10-07,2,153,35,LANDSAT_7,ETM,1128664146792,119.37110386901422
67,image67.tif,dynamic,LE07_152035_20050813,2005-08-13,8,152,35,LANDSAT_7,ETM,1123911796902,124.36230186634646
67,image67.tif,dynamic,LE07_153035_20051023,2005-10-23,1,153,35,LANDSAT_7,ETM,1130046561474,125.37265621425178
67,image67.tif,dynamic,LE07_153035_20050329,2005-03-29,4,153,35,LANDSAT_7,ETM,1112075387545,134.86916398708203
67,image67.tif,dynamic,LE07_152036_20051101,2005-11-01,3,152,36,LANDSAT_7,ETM,1130823821372,154.36949710840904
67,image67.tif,dynamic,LE07_152035_20051117,2005-11-17,2,152,35,LANDSAT_7,ETM,1132206206758,160.37071035027654
67,image67.tif,dynamic,LE07_152035_20051101,2005-11-01,4,152,35,LANDSAT_7,ETM,1130823797483,164.36922059146448
67,image67.tif,dynamic,LE07_152035_20050117,2005-01-17,0,152,35,LANDSAT_7,ETM,1105940600731,165.86750621415692
67,image67.tif,dynamic,LE07_152036_20051117,2005-11-17,3,152,36,LANDSAT_7,ETM,1132206230646,170.370986855646
