tile_index,image_name,image_id,date,cloud_cover,wrs_path,wrs_row,spacecraft_id,sensor_id,system_time_start,rebuild_rank
142,image142.tif,LE07_154036_20050624,2005-06-24,0,154,36,LANDSAT_7,ETM,1119592566880,7.872290715028148
142,image142.tif,LE07_153036_20050719,2005-07-19,0,153,36,LANDSAT_7,ETM,1121752196600,19.364768400303703
142,image142.tif,LE07_154036_20050726,2005-07-26,0,154,36,LANDSAT_7,ETM,1122357366750,26.36965771397222
142,image142.tif,LE07_154036_20050608,2005-06-08,1,154,36,LANDSAT_7,ETM,1118210172198,33.87084676942022
142,image142.tif,LE07_153036_20050804,2005-08-04,0,153,36,LANDSAT_7,ETM,1123134594335,35.366124582760925
142,image142.tif,LE07_154036_20050710,2005-07-10,4,154,36,LANDSAT_7,ETM,1120974967520,50.36828422677926
142,image142.tif,LE07_153036_20050820,2005-08-20,0,153,36,LANDSAT_7,ETM,1124516988999,51.36744521816566
142,image142.tif,LE07_154036_20050912,2005-09-12,0,154,36,LANDSAT_7,ETM,1126504546512,74.3735706576231
142,image142.tif,LE07_153036_20050905,2005-09-05,1,153,36,LANDSAT_7,ETM,1125899380524,77.3687295194129
142,image142.tif,LE07_154036_20050811,2005-08-11,4,154,36,LANDSAT_7,ETM,1123739763093,82.37099778392633
142,image142.tif,LE07_153036_20050703,2005-07-03,8,153,36,LANDSAT_7,ETM,1120369795771,83.36337640456729
142,image142.tif,LE07_154036_20050928,2005-09-28,0,154,36,LANDSAT_7,ETM,1127886946316,90.37495078890859
142,image142.tif,LE07_153036_20050430,2005-04-30,3,153,36,LANDSAT_7,ETM,1114840206106,92.87171397925415
142,image142.tif,LE07_153036_20051007,2005-10-07,0,153,36,LANDSAT_7,ETM,1128664170683,99.37138040910892
142,image142.tif,LE07_154036_20050421,2005-04-21,3,154,36,LANDSAT_7,ETM,1114062973775,101.86668131868241
142,image142.tif,LE07_154036_20050827,2005-08-27,5,154,36,LANDSAT_7,ETM,1125122156592,108.37230493436978
142,image142.tif,LE07_153036_20050601,2005-06-01,8,153,36,LANDSAT_7,ETM,1117605004376,110.8744988006723
142,image142.tif,LE07_153036_20051023,2005-10-23,0,153,36,LANDSAT_7,ETM,1130046585364,115.37293274277141
142,image142.tif,LE07_154036_20051030,2005-10-30,0,154,36,LANDSAT_7,ETM,1130651761563,122.377892074063
142,image142.tif,LE07_153036_20050617,2005-06-17,12,153,36,LANDSAT_7,ETM,1118987397499,134.8759607887027
142,image142.tif,LE07_153036_20050225,2005-02-25,1,153,36,LANDSAT_7,ETM,1109310610994,136.86612781006806
142,image142.tif,LE07_153036_20051108,2005-11-08,2,153,36,LANDSAT_7,ETM,1131428996703,151.37444639253633
142,image142.tif,LE07_154036_20050216,2005-02-16,4,154,36,LANDSAT_7,ETM,1108533378813,175.86109341353523
142,image142.tif,LE07_154036_20051201,2005-12-01,3,154,36,LANDSAT_7,ETM,1133416577275,184.38083874162686
